data,hora,tempBME,humBME,pressBME,tlsLUX,tempSHT31,co2SGP,sgpTVOC,resBME,sgpH2,sgpEthanol,_key
15/06/2023,00:00:10,29.18,71.6,1015.6,0,3000,400,65,161193,14100,21038,2023-06-15 00:00:10
15/06/2023,00:00:24,29.15,72.6,1015.6,0,3001,400,72,153258,14103,21028,2023-06-15 00:00:24
15/06/2023,00:00:40,29.15,72.7,1015.6,0,3000,400,64,147219,14102,21038,2023-06-15 00:00:40
15/06/2023,00:00:54,29.88,71.7,1015.11,0,3001,400,67,181169,14099,21043,2023-06-15 00:00:54
15/06/2023,00:01:06,29.44,71.4,1015.8,0,3001,400,66,168630,14095,21035,2023-06-15 00:01:06
15/06/2023,00:01:19,29.26,71.8,1015.7,0,3003,400,73,160271,14100,21028,2023-06-15 00:01:19
15/06/2023,00:01:33,29.19,71.7,1015.6,0,3001,400,66,155671,14101,21037,2023-06-15 00:01:33
15/06/2023,00:02:01,29.15,72.1,1015.7,0,3001,400,73,147737,14096,21027,2023-06-15 00:02:01
15/06/2023,00:02:07,29.85,70.6,1015.1,0,3000,400,78,182744,14098,21025,2023-06-15 00:02:07
15/06/2023,00:02:21,29.4,71.1,1015.7,0,3000,400,75,169994,14105,21027,2023-06-15 00:02:21
15/06/2023,00:02:34,29.21,71.0,1015.8,0,3000,400,71,161039,14104,21027,2023-06-15 00:02:34
15/06/2023,00:02:47,29.1,70.5,1015.6,0,3000,400,69,157863,14106,21032,2023-06-15 00:02:47
15/06/2023,00:03:04,29.6,71.3,1015.7,0,3001,400,65,153119,14105,21036,2023-06-15 00:03:04
15/06/2023,00:03:17,29.82,71.9,1015.11,0,3000,400,71,183542,14104,21027,2023-06-15 00:03:17
15/06/2023,00:03:30,29.38,71.1,1015.9,0,2997,400,71,171206,14104,21031,2023-06-15 00:03:30
15/06/2023,00:03:43,29.19,72.4,1015.8,0,3000,400,69,161814,14100,21033,2023-06-15 00:03:43
15/06/2023,00:03:57,29.13,71.4,1015.7,0,3000,400,70,155527,14093,21021,2023-06-15 00:03:57
15/06/2023,00:04:14,29.08,71.9,1015.8,0,3001,400,61,150514,14108,21045,2023-06-15 00:04:14
15/06/2023,00:04:27,29.82,71.5,1015.1,0,3000,400,66,184549,14107,21035,2023-06-15 00:04:27
15/06/2023,00:04:40,29.37,70.4,1015.8,0,2998,400,77,172435,14099,21029,2023-06-15 00:04:40
