data,hora,tempBME,humBME,pressBME,tlsLUX,tempSHT31,co2SGP,sgpTVOC,resBME,sgpH2,sgpEthanol,_key
21/06/2023,00:00:18,26.64,72.6,1017.2,0,2762,541,104,191022,14069,21053,2023-06-21 00:00:18
21/06/2023,00:00:31,26.6,72.6,1017.2,0,2758,557,101,192020,14062,21043,2023-06-21 00:00:31
21/06/2023,00:01:04,26.61,72.1,1017.1,0,2763,557,107,179620,14061,21032,2023-06-21 00:01:04
21/06/2023,00:01:17,27.38,70.9,1017.3,0,2762,548,108,231404,14064,21043,2023-06-21 00:01:17
21/06/2023,00:01:45,26.94,72.0,1017.0,0,2761,547,104,204240,14062,21052,2023-06-21 00:01:45
21/06/2023,00:02:10,26.71,73.2,1017.0,0,2761,554,100,187980,14058,21056,2023-06-21 00:02:10
21/06/2023,00:02:34,26.62,73.0,1016.99,0,2761,559,105,180005,14058,21056,2023-06-21 00:02:34
21/06/2023,00:03:06,26.57,74.0,1016.98,0,2761,548,86,169310,14058,21056,2023-06-21 00:03:06
21/06/2023,00:03:23,27.28,73.4,1016.99,0,2758,563,79,214860,14052,21076,2023-06-21 00:03:23
21/06/2023,00:03:52,26.82,73.2,1016.98,0,2754,559,100,189272,14059,21050,2023-06-21 00:03:52
21/06/2023,00:04:06,26.62,72.8,1016.96,0,2755,562,90,187447,14054,21062,2023-06-21 00:04:06
21/06/2023,00:04:34,26.55,75.2,1016.98,0,2754,560,83,170166,14054,21087,2023-06-21 00:04:34
21/06/2023,00:05:06,26.48,74.5,1016.98,0,2754,550,79,160271,14054,21087,2023-06-21 00:05:06
21/06/2023,00:05:20,27.21,73.0,1016.98,0,2748,564,99,211154,14051,21061,2023-06-21 00:05:20
21/06/2023,00:05:48,26.77,73.0,1016.96,0,2749,547,98,188409,14051,21061,2023-06-21 00:05:48
21/06/2023,00:06:02,26.57,73.4,1016.97,0,2749,553,98,187235,14061,21048,2023-06-21 00:06:02
21/06/2023,00:06:31,26.49,72.9,1016.97,0,2748,545,91,174403,14066,21063,2023-06-21 00:06:31
21/06/2023,00:07:09,27.17,73.0,1016.98,0,2745,562,87,209548,14062,21083,2023-06-21 00:07:09
21/06/2023,00:07:38,26.68,74.0,1016.97,0,2745,547,93,188087,14066,21069,2023-06-21 00:07:38
21/06/2023,00:08:02,26.47,74.3,1016.95,0,2742,545,81,176973,14065,21073,2023-06-21 00:08:02
21/06/2023,00:08:15,26.41,73.9,1016.94,0,2738,542,79,178287,14065,21082,2023-06-21 00:08:15
21/06/2023,00:08:32,26.4,73.3,1016.94,0,2738,565,94,182150,14057,21064,2023-06-21 00:08:32
21/06/2023,00:09:01,27.12,73.7,1016.97,0,2741,536,92,208622,14070,21068,2023-06-21 00:09:01
21/06/2023,00:09:14,26.63,74.2,1016.96,0,2742,523,78,200402,14089,21094,2023-06-21 00:09:14
21/06/2023,00:09:43,26.46,74.0,1016.93,0,2742,523,78,182744,14069,21123,2023-06-21 00:09:43
21/06/2023,00:09:57,26.4,74.3,1016.94,0,2741,531,43,181364,14067,21140,2023-06-21 00:09:57
21/06/2023,00:10:29,26.4,73.8,1016.93,0,2742,552,66,169994,14064,21108,2023-06-21 00:10:29
21/06/2023,00:10:42,27.17,70.7,1016.92,0,2744,547,72,225871,14063,21093,2023-06-21 00:10:42
21/06/2023,00:11:11,26.75,67.3,1016.89,0,2748,535,94,209283,14063,21093,2023-06-21 00:11:11
21/06/2023,00:11:40,26.57,70.9,1016.89,0,2749,539,92,194621,14073,21075,2023-06-21 00:11:40
21/06/2023,00:15:01,26.69,74.0,1016.88,0,2739,534,79,164184,14067,21078,2023-06-21 00:15:01
21/06/2023,00:15:15,26.52,73.4,1016.88,0,2738,539,86,164990,14067,21078,2023-06-21 00:15:15
21/06/2023,00:15:44,26.46,73.7,1016.88,0,2738,547,83,153819,14068,21077,2023-06-21 00:15:44
21/06/2023,00:16:01,26.42,74.1,1016.88,0,2737,535,73,156250,14068,21077,2023-06-21 00:16:01
21/06/2023,00:16:30,27.13,74.2,1016.9,0,2734,532,70,187341,14078,21103,2023-06-21 00:16:30
21/06/2023,00:16:43,26.63,73.2,1016.87,0,2733,545,79,183743,14065,21091,2023-06-21 00:16:43
21/06/2023,00:17:21,26.42,72.8,1016.85,0,2731,528,79,172968,14081,21084,2023-06-21 00:17:21
21/06/2023,00:17:41,26.36,74.5,1016.85,0,2730,528,79,170339,14078,21105,2023-06-21 00:17:41
21/06/2023,00:18:10,27.05,74.9,1016.87,0,2727,541,62,193481,14078,21105,2023-06-21 00:18:10
21/06/2023,00:18:24,26.55,74.7,1016.85,0,2726,553,65,186706,14078,21105,2023-06-21 00:18:24
21/06/2023,00:18:54,26.37,74.4,1016.83,0,2723,536,67,171556,14074,21099,2023-06-21 00:18:54
21/06/2023,00:19:07,26.28,74.1,1016.82,0,2721,536,73,172259,14074,21099,2023-06-21 00:19:07
21/06/2023,00:20:01,26.96,74.4,1016.85,0,2724,517,63,199796,14084,21112,2023-06-21 00:20:01
21/06/2023,00:20:15,26.51,73.4,1016.83,0,2724,532,51,194163,14079,21133,2023-06-21 00:20:15
21/06/2023,00:20:28,26.37,73.5,1016.83,0,2726,534,56,191575,14071,21126,2023-06-21 00:20:28
21/06/2023,00:20:41,26.33,74.3,1016.82,0,2728,521,47,188516,14093,21134,2023-06-21 00:20:41
21/06/2023,00:20:58,26.33,73.3,1016.82,0,2728,534,43,188947,14093,21134,2023-06-21 00:20:58
21/06/2023,00:21:11,27.11,72.9,1016.85,0,2733,530,55,233860,14080,21116,2023-06-21 00:21:11
21/06/2023,00:21:27,26.68,72.9,1016.82,0,2734,528,62,220154,14080,21116,2023-06-21 00:21:27
21/06/2023,00:21:40,26.52,71.8,1016.82,0,2734,537,70,215842,14080,21116,2023-06-21 00:21:40
21/06/2023,00:21:53,26.47,70.6,1016.82,0,2738,525,74,216124,14085,21096,2023-06-21 00:21:53
