data,hora,tempBME,humBME,pressBME,tlsLUX,tempSHT31,co2SGP,sgpTVOC,resBME,sgpH2,sgpEthanol,_key
2023-06-28,00:00:11,28.11,68.6,1015.34,0,3031,432,167,27625,14155,21112,2023-06-28 00:00:11
2023-06-28,00:00:26,28.8,68.6,1015.35,0,3031,439,173,27589,14151,21105,2023-06-28 00:00:26
2023-06-28,00:00:44,28.6,68.6,1015.35,0,3031,444,172,27589,14151,21096,2023-06-28 00:00:44
2023-06-28,00:00:59,28.45,68.3,1015.35,0,3029,440,167,27752,14148,21101,2023-06-28 00:00:59
2023-06-28,00:01:13,28.21,68.5,1015.35,0,3028,434,168,27679,14154,21106,2023-06-28 00:01:13
2023-06-28,00:01:28,28.12,68.6,1015.35,0,3032,437,168,27661,14146,21102,2023-06-28 00:01:28
2023-06-28,00:01:42,28.8,68.6,1015.37,0,3029,438,174,27607,14152,21108,2023-06-28 00:01:42
2023-06-28,00:02:00,28.7,68.7,1015.36,0,3031,433,168,27534,14151,21104,2023-06-28 00:02:00
2023-06-28,00:02:14,28.45,68.3,1015.36,0,3031,439,166,27771,14150,21111,2023-06-28 00:02:14
2023-06-28,00:02:29,28.21,68.5,1015.36,0,3032,427,172,27698,14155,21107,2023-06-28 00:02:29
2023-06-28,00:02:43,28.12,68.6,1015.35,0,3031,435,172,27625,14153,21110,2023-06-28 00:02:43
2023-06-28,00:02:58,28.9,68.6,1015.36,0,3031,433,163,27589,14159,21113,2023-06-28 00:02:58
2023-06-28,00:03:16,28.7,68.7,1015.36,0,3031,436,170,27552,14156,21109,2023-06-28 00:03:16
2023-06-28,00:03:30,28.45,68.4,1015.35,0,3031,427,163,27771,14151,21107,2023-06-28 00:03:30
2023-06-28,00:03:45,28.21,68.6,1015.36,0,3029,434,160,27716,14154,21120,2023-06-28 00:03:45
2023-06-28,00:04:00,28.12,68.7,1015.35,0,3028,430,165,27625,14155,21107,2023-06-28 00:04:00
2023-06-28,00:04:15,28.8,68.7,1015.35,0,3028,431,162,27570,14155,21111,2023-06-28 00:04:15
2023-06-28,00:04:33,28.7,68.7,1015.36,0,3028,432,159,27552,14152,21124,2023-06-28 00:04:33
2023-06-28,00:04:47,28.45,68.4,1015.36,0,3025,435,165,27771,14154,21111,2023-06-28 00:04:47
2023-06-28,00:05:01,28.21,68.6,1015.33,0,3028,440,165,27661,14154,21115,2023-06-28 00:05:01
2023-06-28,00:05:16,28.12,68.7,1015.34,0,3027,432,171,27607,14152,21110,2023-06-28 00:05:16
2023-06-28,00:05:31,28.8,68.7,1015.34,0,3029,431,167,27552,14158,21116,2023-06-28 00:05:31
2023-06-28,00:05:51,28.6,68.7,1015.34,0,3025,427,159,27570,14162,21117,2023-06-28 00:05:51
2023-06-28,00:06:05,28.44,68.5,1015.33,0,3027,434,164,27771,14150,21106,2023-06-28 00:06:05
2023-06-28,00:06:19,28.2,68.6,1015.33,0,3025,433,170,27679,14159,21109,2023-06-28 00:06:19
2023-06-28,00:06:33,28.11,68.7,1015.33,0,3025,436,164,27625,14155,21119,2023-06-28 00:06:33
2023-06-28,00:06:47,28.7,68.7,1015.34,0,3024,432,164,27589,14156,21118,2023-06-28 00:06:47
2023-06-28,00:07:06,28.5,68.8,1015.33,0,3024,429,166,27534,14152,21110,2023-06-28 00:07:06
2023-06-28,00:07:20,28.43,68.5,1015.34,0,3024,434,164,27771,14156,21120,2023-06-28 00:07:20
2023-06-28,00:07:35,28.19,68.7,1015.33,0,3024,433,167,27661,14154,21109,2023-06-28 00:07:35
2023-06-28,00:07:49,28.09,68.8,1015.32,0,3020,440,168,27625,14153,21116,2023-06-28 00:07:49
2023-06-28,00:08:06,28.06,68.8,1015.31,0,3024,425,160,27589,14158,21119,2023-06-28 00:08:06
2023-06-28,00:08:21,28.04,68.8,1015.3,0,3028,429,167,27552,14151,21113,2023-06-28 00:08:21
2023-06-28,00:08:36,28.42,68.5,1015.32,0,3025,433,160,27752,14153,21120,2023-06-28 00:08:36
2023-06-28,00:08:49,28.19,68.7,1015.32,0,3024,430,163,27661,14153,21118,2023-06-28 00:08:49
2023-06-28,00:09:03,28.09,68.8,1015.31,0,3025,432,163,27625,14159,21122,2023-06-28 00:09:03
2023-06-28,00:09:20,28.06,68.8,1015.31,0,3024,433,166,27589,14149,21119,2023-06-28 00:09:20
2023-06-28,00:09:37,28.04,68.9,1015.31,0,3022,426,163,27552,14160,21116,2023-06-28 00:09:37
2023-06-28,00:09:52,28.42,68.5,1015.31,0,3024,431,165,27734,14153,21112,2023-06-28 00:09:52
2023-06-28,00:10:08,28.18,68.8,1015.31,0,3021,436,161,27625,14151,21117,2023-06-28 00:10:08
2023-06-28,00:10:23,28.09,68.8,1015.3,0,3022,430,160,27589,14159,21114,2023-06-28 00:10:23
2023-06-28,00:10:37,28.05,68.9,1015.31,0,3021,426,157,27498,14156,21118,2023-06-28 00:10:37
2023-06-28,00:10:58,28.04,68.9,1015.3,0,3024,433,160,27498,14155,21118,2023-06-28 00:10:58
2023-06-28,00:11:13,28.41,68.7,1015.29,0,3024,439,162,27679,14152,21111,2023-06-28 00:11:13
2023-06-28,00:11:27,28.17,68.8,1015.27,0,3021,433,159,27607,14159,21117,2023-06-28 00:11:27
2023-06-28,00:11:44,28.08,68.9,1015.27,0,3018,428,161,27552,14161,21120,2023-06-28 00:11:44
2023-06-28,00:11:58,28.05,68.8,1015.27,0,3018,435,162,27480,14158,21122,2023-06-28 00:11:58
2023-06-28,00:12:17,28.04,68.9,1015.27,0,3020,418,158,27463,14157,21116,2023-06-28 00:12:17
2023-06-28,00:12:32,28.42,68.5,1015.26,0,3020,430,162,27698,14153,21113,2023-06-28 00:12:32
2023-06-28,00:12:46,28.18,68.7,1015.26,0,3022,425,154,27625,14163,21124,2023-06-28 00:12:46
2023-06-28,00:13:00,28.09,68.8,1015.25,0,3025,432,155,27570,14156,21125,2023-06-28 00:13:00
2023-06-28,00:13:14,28.05,68.8,1015.25,0,3025,427,155,27516,14163,21131,2023-06-28 00:13:14
2023-06-28,00:13:33,28.04,68.8,1015.26,0,3025,422,157,27552,14161,21126,2023-06-28 00:13:33
2023-06-28,00:13:47,28.42,68.4,1015.25,0,3024,430,159,27716,14158,21127,2023-06-28 00:13:47
2023-06-28,00:14:01,28.19,68.6,1015.25,0,3024,426,153,27607,14160,21125,2023-06-28 00:14:01
